Routes Data: 
           Y_1              Y_2            Y_3             Y_4                Y_5         
  u     [a_1, b_1]       [a_2, b_2]     [a_3, b_3]      [a_4, b_4]         [a_5, b_5]    
  1    [10980, 10980]   [1348, 2410]   [4200, 7201]    [101.28, 232.05]   [0.01, 935.86]    
  2    [3979, 3979]     [1348, 2410]   [4200, 7201]    [114.73, 423.19]   [0.01, 792.92]    
  3    [1305, 5525]     [3979, 3979]   [10465, 10465]  [594.00, 699.14]   [0.01, 201.71]    
  4    [254, 4422]      [3979, 3979]   [10465, 10465]  [479.98, 908.21]   [0.01, 466.37]    
  5    [1305, 5525]     [1623, 3133]   [4230, 8685]    [269.96, 791.86]   [0.01, 464.21]    
  6    [10980, 10980]   [714, 2851]    [1851, 8245]    [400.78, 655.11]   [0.01, 431.85]    
  7    [3979, 3979]     [10980, 10980] [55574, 55574]  [206.89, 206.89]   [0.01, 874.33]    
  8    [1108, 2282]     [10980, 10980] [55574, 55574]  [302.91, 419.28]   [0.01, 979.83]    
  9    [1623, 3133]     [10980, 10980] [55574, 55574]  [293.63, 433.09]   [0.01, 973.65]     
